BlueTeam,RedTeam,Winner,GoldDifference,BlueTowers,BlueInhibitors,BlueDragons,BlueHerald,BlueBaron,RedTowers,RedInhibitors,RedDragons,RedHerald,RedBaron,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport
DIG,TSM,blueTeam,1998,4,0,1,Yes,No,1,0,2,No,No,JarvanIV,Elise,Taliyah,Xayah,Thresh,Maokai,RekSai,Cassiopeia,KogMaw,Braum
DIG,TSM,redTeam,-2778,2,0,1,Yes,No,3,0,2,No,No,Maokai,JarvanIV,Taliyah,Xayah,Thresh,Chogath,Gragas,Lucian,KogMaw,Braum
DIG,CLG,redTeam,-5035,4,0,0,Yes,No,7,0,3,No,Yes,Shen,Elise,Taliyah,Tristana,Thresh,JarvanIV,Sejuani,Lucian,KogMaw,Morgana
CLG,DIG,blueTeam,6129,5,0,1,No,No,1,0,0,Yes,No,Camille,Zac,Orianna,Xayah,Rakan,JarvanIV,Gragas,Corki,Tristana,Janna
DIG,CLG,redTeam,-1831,2,0,2,No,No,3,0,1,Yes,No,JarvanIV,Elise,Taliyah,Xayah,Braum,Jax,Gragas,Kassadin,Tristana,Thresh
TSM,IMT,blueTeam,357,1,0,2,No,No,2,0,0,No,No,Gnar,Gragas,Syndra,Xayah,Rakan,Chogath,JarvanIV,Galio,Tristana,Morgana
TSM,IMT,blueTeam,-2715,2,0,2,No,No,3,0,1,Yes,No,Chogath,Gragas,Orianna,Tristana,Alistar,Shen,JarvanIV,Corki,Jinx,TahmKench
IMT,TSM,redTeam,10395,9,1,1,Yes,Yes,1,0,1,No,No,Rumble,Sejuani,Lucian,Xayah,Alistar,Gnar,Gragas,Corki,Tristana,Rakan
DIG,FLY,redTeam,-5836,4,0,0,No,No,7,2,3,Yes,Yes,Jayce,Gragas,Orianna,Tristana,Alistar,Chogath,RekSai,Syndra,KogMaw,Rakan
FLY,CLG,blueTeam,798,3,0,1,Yes,No,2,0,1,No,No,Kennen,JarvanIV,Galio,Twitch,Rakan,DrMundo,Sejuani,Fiora,Lucian,Thresh
FLY,CLG,redTeam,-581,4,0,2,No,No,3,0,1,Yes,Yes,Shen,JarvanIV,Kennen,Sivir,Rakan,Chogath,Sejuani,AurelionSol,Ashe,Thresh
CLG,C9,redTeam,468,2,0,0,Yes,No,3,0,2,No,No,Jax,Sejuani,Viktor,Xayah,Alistar,Shen,JarvanIV,Cassiopeia,Tristana,Rakan
H2K,SPY,blueTeam,-1220,2,0,0,Yes,No,2,0,1,No,No,Gragas,Graves,Viktor,Caitlyn,Thresh,JarvanIV,Elise,Orianna,Varus,Lulu
ROC,G2,blueTeam,1117,3,0,0,No,No,1,0,1,No,No,Galio,Elise,Syndra,Xayah,Rakan,Rumble,LeeSin,Karma,Caitlyn,Lulu
G2,ROC,blueTeam,5400,3,0,1,No,Yes,3,0,1,No,No,Galio,Khazix,Orianna,KogMaw,Thresh,Shen,Elise,Lucian,Caitlyn,Malzahar
ROC,G2,redTeam,-1724,1,0,0,No,No,2,0,2,No,No,Gnar,Graves,Syndra,Xayah,Lulu,Galio,Khazix,Fizz,Twitch,Karma
UOL,VIT,blueTeam,7466,4,0,1,No,Yes,2,0,1,Yes,No,Shen,Gragas,Syndra,Caitlyn,Braum,Kled,Elise,Ekko,Twitch,Thresh
H2K,MM,blueTeam,1423,3,0,2,No,No,1,0,1,Yes,No,Gragas,Elise,Lucian,Varus,Zyra,Galio,Khazix,Leblanc,Twitch,Thresh
H2K,MM,blueTeam,13002,7,1,2,Yes,Yes,0,0,0,No,No,Galio,Elise,Viktor,Lucian,Braum,Shen,Khazix,Cassiopeia,Varus,Thresh
NIP,FNC,redTeam,802,4,0,2,Yes,No,3,0,0,No,No,JarvanIV,LeeSin,Taliyah,Varus,TahmKench,Shen,Ivern,Syndra,Twitch,Braum
MSF,NIP,blueTeam,3873,5,0,0,Yes,Yes,4,0,1,No,No,Rumble,Zac,Viktor,Ashe,Bard,JarvanIV,Khazix,Galio,Lucian,Karma
NIP,MSF,redTeam,-2347,3,0,0,Yes,No,4,0,1,No,Yes,Jayce,Graves,Taliyah,Ashe,Thresh,Rumble,LeeSin,Orianna,Varus,Galio
FNC,G2,redTeam,-366,5,0,2,No,No,5,0,1,Yes,Yes,Shen,Khazix,Leblanc,Kennen,Braum,Renekton,LeeSin,Cassiopeia,Twitch,Thresh
G2,FNC,redTeam,-9107,1,0,1,Yes,No,6,0,1,No,Yes,JarvanIV,Elise,Lucian,KogMaw,Lulu,Shen,LeeSin,Cassiopeia,Kennen,Karma
SPY,VIT,blueTeam,7903,8,1,2,Yes,No,2,0,1,No,No,Fiora,Ivern,Taliyah,Caitlyn,Thresh,Gragas,Graves,Ekko,Kalista,Braum
MM,UOL,redTeam,-8559,2,0,0,Yes,No,5,0,0,No,Yes,Jayce,Elise,Orianna,Varus,Thresh,Shen,Ivern,Taliyah,Twitch,Blitzcrank
UOL,MM,blueTeam,1513,3,0,0,No,No,3,0,2,Yes,No,Galio,Warwick,Syndra,Caitlyn,Braum,JarvanIV,LeeSin,Katarina,Twitch,Thresh
NIP,G2,redTeam,-1628,2,0,0,No,No,3,0,2,Yes,No,JarvanIV,Zac,Viktor,Ashe,TahmKench,Fiora,Gragas,Lucian,Varus,Janna
G2,NIP,blueTeam,-1969,1,0,0,Yes,No,2,0,2,No,No,Galio,Khazix,Leblanc,Twitch,Lulu,Shen,LeeSin,Orianna,Kalista,Braum
VIT,MM,blueTeam,4092,3,0,0,Yes,Yes,0,0,2,No,No,Renekton,Khazix,Leblanc,Caitlyn,Braum,Kled,LeeSin,Cassiopeia,Ashe,Lulu
VIT,MM,blueTeam,2728,5,0,0,Yes,No,2,0,1,No,No,Shen,Khazix,Syndra,Caitlyn,Braum,Kled,LeeSin,Taliyah,Ashe,Zyra
MSF,G2,blueTeam,10176,6,0,0,Yes,Yes,1,0,2,No,No,Renekton,LeeSin,Taliyah,Xayah,Blitzcrank,JarvanIV,Gragas,Galio,Kalista,Rakan
UOL,SPY,redTeam,-2511,3,0,2,Yes,No,2,0,0,No,No,Renekton,Warwick,Galio,Caitlyn,Bard,Fiora,Gragas,Kassadin,Twitch,Braum
UOL,SPY,redTeam,-6105,2,0,0,No,No,4,0,1,No,Yes,Renekton,Gragas,Galio,Caitlyn,Braum,Kled,Ivern,Malzahar,Xayah,Rakan
NIP,ROC,redTeam,-5242,3,0,1,Yes,No,3,0,2,No,Yes,Rumble,Khazix,Galio,Caitlyn,TahmKench,Fiora,LeeSin,Vladimir,Varus,Zyra
ROC,NIP,blueTeam,1037,5,0,1,No,Yes,3,0,1,Yes,No,Gnar,Khazix,Orianna,KogMaw,Thresh,Rumble,LeeSin,Taliyah,Varus,Braum
H2K,VIT,blueTeam,1671,3,0,2,No,Yes,3,0,0,Yes,No,Fiora,LeeSin,Orianna,Xayah,TahmKench,Renekton,Warwick,Leblanc,Caitlyn,Rakan
MSF,VIT,blueTeam,1783,3,0,1,Yes,No,3,0,0,No,No,Renekton,Zac,Corki,Varus,Rakan,Rumble,Ivern,Taliyah,Caitlyn,Thresh
MSF,VIT,blueTeam,5071,4,0,2,Yes,No,1,0,0,No,No,JarvanIV,Elise,Orianna,Varus,Blitzcrank,Rumble,Olaf,Lucian,Ashe,Braum
FNC,H2K,blueTeam,9014,6,0,1,Yes,No,1,0,0,No,No,Galio,Khazix,Corki,Kennen,Camille,Rumble,LeeSin,Zed,Caitlyn,Lulu
H2K,FNC,redTeam,-7111,0,0,0,No,No,6,0,0,Yes,Yes,Shen,Warwick,Syndra,Ashe,Rakan,Gragas,LeeSin,Corki,Kennen,Thresh
ROC,SPY,redTeam,-5100,1,0,1,No,No,3,0,1,No,No,Camille,LeeSin,Syndra,Xayah,Rakan,Rumble,Gragas,Lucian,Kalista,Braum
G2,UOL,redTeam,-4786,2,0,2,No,No,4,0,1,Yes,Yes,Kennen,LeeSin,Lucian,Caitlyn,Karma,Rumble,Hecarim,Ryze,Xayah,Rakan
G2,UOL,redTeam,-5892,3,0,1,Yes,No,4,0,1,No,Yes,Rumble,Nidalee,Taliyah,Caitlyn,TahmKench,Gragas,RekSai,Kassadin,Kalista,Thresh
NIP,H2K,redTeam,-264,1,0,1,Yes,No,3,0,1,No,No,Rumble,Olaf,Corki,Caitlyn,Thresh,Gragas,Khazix,Orianna,Ashe,TahmKench
H2K,NIP,blueTeam,2955,4,0,2,No,No,2,0,0,No,No,Camille,Zac,Syndra,Twitch,Thresh,Rumble,RekSai,Corki,Varus,Braum
FNC,MM,blueTeam,2589,4,0,1,Yes,No,2,0,2,No,No,JarvanIV,Khazix,Taliyah,Kennen,Thresh,Aatrox,Gragas,Syndra,Xayah,Rakan
MM,FNC,redTeam,-1805,3,0,1,Yes,No,4,0,1,No,No,JarvanIV,RekSai,Katarina,Kalista,Thresh,Camille,Elise,Syndra,Tristana,Blitzcrank
NIP,MM,redTeam,1322,3,0,1,Yes,No,2,0,0,No,Yes,Jayce,RekSai,Taliyah,Jhin,TahmKench,Gragas,Warwick,Cassiopeia,Varus,Braum
FNC,SPY,blueTeam,2194,2,0,2,No,No,1,0,0,Yes,No,Gragas,Elise,Corki,Tristana,Camille,Rumble,RekSai,Cassiopeia,Xayah,Rakan
FNC,SPY,blueTeam,1414,3,0,0,Yes,No,2,0,2,No,No,Galio,Elise,Corki,Tristana,Morgana,Rumble,Gragas,Kassadin,Caitlyn,Camille
VIT,ROC,blueTeam,-110,3,0,2,Yes,No,3,0,1,No,No,Rumble,RekSai,KogMaw,Jhin,TahmKench,Kennen,Warwick,Corki,Caitlyn,Lulu
ROC,VIT,redTeam,415,4,0,1,Yes,No,3,0,2,No,No,Renekton,Elise,Syndra,Varus,Bard,Shen,Olaf,Corki,Caitlyn,TahmKench
G2,MM,blueTeam,1751,3,0,3,Yes,No,2,0,0,No,No,Renekton,Khazix,Galio,Twitch,TahmKench,Camille,Gragas,Leblanc,Kalista,Thresh
MM,G2,redTeam,-4995,4,0,2,No,No,4,0,1,Yes,Yes,Camille,RekSai,Taliyah,Xayah,Braum,Renekton,Gragas,Orianna,Ashe,Lulu
NIP,UOL,blueTeam,6271,4,0,2,Yes,No,1,0,0,No,No,Renekton,RekSai,Corki,Jhin,Thresh,Rumble,Khazix,Galio,Twitch,Blitzcrank
NIP,UOL,redTeam,1831,3,0,1,Yes,No,3,0,1,No,No,Renekton,RekSai,Corki,Jhin,Thresh,Galio,Khazix,Kassadin,Twitch,Blitzcrank
NIP,UOL,redTeam,-2462,3,0,2,Yes,No,5,0,0,No,Yes,Rumble,LeeSin,Cassiopeia,Jhin,Thresh,Gragas,Hecarim,Corki,Caitlyn,TahmKench
VIT,NIP,blueTeam,5030,5,0,2,Yes,No,0,0,0,No,No,Rumble,Olaf,Lucian,Ashe,TahmKench,Renekton,RekSai,Taliyah,Tristana,Thresh
VIT,NIP,redTeam,-867,3,0,0,No,No,2,0,3,Yes,No,Rumble,Olaf,Orianna,Xayah,Thresh,Shen,Khazix,Leblanc,Ashe,TahmKench
H2K,ROC,blueTeam,10953,6,1,2,Yes,Yes,2,0,0,No,No,JarvanIV,Zac,Syndra,KogMaw,Braum,Renekton,Gragas,Corki,Kalista,Alistar
SPY,G2,redTeam,-2739,1,0,1,No,No,1,0,1,Yes,No,Jax,Gragas,Corki,Kalista,Rakan,JarvanIV,Sejuani,Orianna,Varus,TahmKench
ROC,MM,redTeam,2192,4,0,0,Yes,No,3,0,1,No,No,Gnar,Khazix,Leblanc,Jhin,Thresh,Jayce,Gragas,Cassiopeia,Kalista,Braum
ROC,MM,redTeam,-675,3,0,2,No,No,3,0,1,Yes,Yes,Poppy,Elise,Syndra,Tristana,Braum,Renekton,RekSai,Corki,Kalista,Thresh
VIT,FNC,redTeam,-9424,0,0,0,No,No,5,0,2,Yes,Yes,Rumble,Sejuani,Lucian,Jhin,TahmKench,JarvanIV,Gragas,Syndra,Sivir,Braum
FNC,VIT,blueTeam,5880,5,0,2,Yes,Yes,1,0,1,No,No,JarvanIV,Khazix,Taliyah,Varus,Braum,Jax,Gragas,Corki,Ashe,TahmKench
G2,H2K,blueTeam,-77,1,0,2,No,No,2,0,1,No,No,JarvanIV,Khazix,Taliyah,Caitlyn,Braum,Gnar,Gragas,Kassadin,Varus,TahmKench
H2K,G2,blueTeam,7575,5,0,0,Yes,Yes,1,0,1,No,No,Rumble,Chogath,Syndra,Ashe,Thresh,JarvanIV,Gragas,Taliyah,Kalista,Alistar
ROC,UOL,blueTeam,2387,5,0,1,Yes,Yes,3,0,1,No,No,JarvanIV,Warwick,Syndra,Sivir,Rakan,Camille,Sejuani,Corki,Xayah,Braum
MSF,MM,blueTeam,5807,4,0,1,Yes,Yes,2,0,0,No,No,JarvanIV,Maokai,Syndra,Kalista,Rakan,Jayce,Gragas,Vladimir,Tristana,Braum
MSF,MM,blueTeam,-13,2,0,1,No,No,3,0,0,No,No,JarvanIV,Zac,Orianna,Varus,Alistar,Renekton,Sejuani,Syndra,Xayah,Braum
NIP,SPY,redTeam,-7505,1,0,0,No,No,5,0,1,Yes,Yes,JarvanIV,LeeSin,Taliyah,Caitlyn,Thresh,Camille,Sejuani,Syndra,Varus,Braum
SPY,NIP,blueTeam,5861,4,0,2,No,Yes,2,0,0,Yes,No,Chogath,Khazix,Syndra,Jhin,Braum,Gnar,Gragas,Orianna,Xayah,Thresh
UOL,FNC,blueTeam,384,2,0,1,No,No,2,0,1,No,No,Chogath,Maokai,Talon,Xayah,Rakan,Shen,Sejuani,Orianna,Kalista,Thresh
FNC,UOL,blueTeam,7591,6,0,2,Yes,Yes,2,0,1,No,No,JarvanIV,Chogath,Galio,Varus,Taric,Shen,Sejuani,Corki,Kalista,Braum
UOL,FNC,redTeam,-3910,2,0,0,Yes,No,4,0,2,No,Yes,Renekton,Elise,Talon,KogMaw,Sejuani,JarvanIV,Chogath,Cassiopeia,Ashe,Thresh
VIT,G2,blueTeam,790,2,0,0,No,No,3,0,2,Yes,No,Chogath,Maokai,Orianna,Ashe,TahmKench,Renekton,Gragas,Taliyah,Varus,Thresh
G2,VIT,blueTeam,3418,3,0,1,Yes,No,2,0,1,No,No,JarvanIV,Sejuani,Syndra,Varus,Braum,Jax,Maokai,Corki,Kalista,Alistar
VIT,G2,redTeam,-7339,1,0,0,No,No,6,1,1,Yes,Yes,Kennen,Chogath,Jayce,Twitch,Lulu,Gnar,Gragas,Syndra,Tristana,TahmKench
MSF,SPY,blueTeam,-91,3,0,1,Yes,Yes,2,0,0,No,No,JarvanIV,Maokai,Orianna,Kalista,Trundle,Camille,Sejuani,Syndra,Varus,Braum
VIT,MM,blueTeam,1232,4,0,1,No,No,3,0,1,Yes,No,Rumble,Sejuani,Jayce,Kalista,Alistar,Camille,Gragas,Corki,Xayah,Rakan
G2,NIP,blueTeam,2895,3,0,3,Yes,No,0,0,0,No,Yes,Gnar,Elise,Jayce,Varus,Alistar,Maokai,Chogath,Cassiopeia,Kalista,Rakan
H2K,SPY,blueTeam,3070,3,0,1,No,No,1,0,0,Yes,No,Rumble,Gragas,Orianna,Caitlyn,Trundle,Kled,Maokai,Galio,KogMaw,Braum
MSF,FNC,redTeam,-535,2,0,1,Yes,No,3,0,1,No,No,JarvanIV,Maokai,Cassiopeia,Caitlyn,TahmKench,Gnar,Elise,Orianna,Ashe,Braum
NIP,ROC,blueTeam,-2390,5,0,0,No,No,5,0,1,Yes,Yes,JarvanIV,Sejuani,Orianna,Kalista,Braum,Gnar,Gragas,Syndra,Xayah,Rakan
ROC,NIP,redTeam,-7240,2,0,3,No,No,4,0,0,Yes,Yes,JarvanIV,Khazix,Galio,Kalista,Kennen,Gnar,Maokai,Taliyah,Jhin,Alistar
MM,UOL,blueTeam,5267,5,0,0,Yes,Yes,3,0,3,No,No,Shen,Maokai,Cassiopeia,Kalista,Alistar,Chogath,Gragas,Corki,Jhin,Thresh
UOL,MM,blueTeam,-1074,4,0,0,Yes,Yes,4,0,0,No,No,Chogath,Gragas,Talon,Xayah,TahmKench,Jax,Maokai,Vladimir,Varus,Rakan
MM,SPY,redTeam,-1947,2,0,1,No,No,4,0,1,Yes,No,Shen,Maokai,Katarina,Tristana,Braum,Gnar,JarvanIV,Taliyah,Xayah,Rakan
G2,MSF,blueTeam,2994,2,0,2,No,No,1,0,1,No,No,Gnar,Sejuani,Orianna,Kalista,Janna,Camille,Maokai,Syndra,Xayah,Rakan
MSF,G2,redTeam,-4475,0,0,1,No,No,4,0,1,No,Yes,Camille,JarvanIV,Galio,Kalista,Trundle,Gnar,Gragas,Kassadin,Tristana,Alistar
H2K,VIT,blueTeam,4561,3,0,1,Yes,Yes,1,0,0,No,No,Gnar,Zac,Orianna,Tristana,TahmKench,Rumble,Maokai,Lucian,Xayah,Thresh
FNC,ROC,blueTeam,-1368,4,0,0,Yes,No,3,0,1,No,No,Gnar,Gragas,Orianna,Tristana,Braum,JarvanIV,Khazix,Taliyah,Xayah,Rakan
ROC,FNC,redTeam,-1120,3,0,1,No,Yes,5,0,1,No,No,JarvanIV,Warwick,Syndra,KogMaw,Thresh,Gnar,Gragas,Taliyah,Jhin,Morgana
NIP,MSF,redTeam,-4957,1,0,0,Yes,No,3,0,2,No,No,Shen,Maokai,Taliyah,Caitlyn,Janna,Gnar,RekSai,Orianna,Tristana,Blitzcrank
MSF,NIP,redTeam,-47,5,0,2,Yes,No,4,0,0,No,Yes,Kled,Elise,Orianna,Xayah,Rakan,Rumble,Kayn,Syndra,Kalista,Alistar
UOL,SPY,blueTeam,-1206,3,0,1,No,No,3,0,1,Yes,No,Chogath,Kayn,Leblanc,Twitch,Trundle,Gnar,Gragas,Taliyah,Xayah,Morgana
SPY,UOL,redTeam,-6618,0,0,0,No,No,4,0,2,Yes,No,Chogath,Sejuani,Azir,Tristana,Braum,Maokai,Nidalee,Leblanc,Xayah,Trundle
G2,ROC,redTeam,-2741,3,0,2,Yes,No,5,0,0,No,Yes,Rumble,Zac,Lucian,Tristana,Alistar,Renekton,Gragas,Taliyah,Kalista,Morgana
G2,ROC,redTeam,1065,7,0,2,Yes,Yes,4,0,1,No,No,Gnar,JarvanIV,Taliyah,Varus,Kennen,Irelia,Warwick,Galio,Tristana,Janna
NIP,FNC,blueTeam,1043,3,0,3,Yes,No,5,0,0,No,Yes,Gnar,Sejuani,Orianna,Tristana,Alistar,Kled,JarvanIV,Azir,Xayah,Thresh
UOL,VIT,redTeam,-11490,0,0,0,No,No,6,1,2,Yes,Yes,Galio,Kayn,Leblanc,Caitlyn,Trundle,Renekton,Maokai,Kassadin,Kalista,Janna
UOL,VIT,redTeam,-3824,1,0,0,No,No,4,0,0,Yes,No,Gnar,Poppy,Leblanc,Caitlyn,Bard,Jayce,Gragas,Orianna,Kalista,Alistar
G2,FNC,redTeam,-3352,2,0,0,No,No,3,0,2,No,No,Rumble,Maokai,Lucian,Tristana,Janna,Gnar,Gragas,Orianna,Ashe,Karma
SPY,VIT,blueTeam,9579,4,0,0,No,No,2,0,2,No,No,Nocturne,Bard,Heimerdinger,Irelia,Gragas,LeeSin,Pantheon,KogMaw,Thresh,TwistedFate
H2K,UOL,blueTeam,8465,3,0,1,No,Yes,2,0,1,No,No,Maokai,Zac,Cassiopeia,Tristana,Janna,Chogath,Poppy,Galio,Kalista,Annie
H2K,UOL,redTeam,-6513,0,0,0,No,No,4,0,2,No,No,Maokai,Zac,Cassiopeia,Tristana,Thresh,Shen,Poppy,Syndra,Xayah,Rakan
G2,SPY,blueTeam,-1705,0,0,1,No,No,4,0,0,Yes,No,Chogath,JarvanIV,Cassiopeia,Ashe,Trundle,Jayce,Elise,Orianna,Xayah,TahmKench
SPY,G2,blueTeam,-265,2,0,1,Yes,No,4,0,1,No,No,JarvanIV,Sejuani,Orianna,Jhin,Rakan,Renekton,Gragas,Corki,Caitlyn,Alistar
FNC,MSF,redTeam,-3103,3,0,1,No,No,3,0,1,Yes,No,Chogath,Gragas,Leblanc,Ashe,Taric,Gnar,Rengar,Orianna,Xayah,Blitzcrank
FNC,MSF,blueTeam,3671,4,0,1,No,Yes,3,0,0,Yes,No,Camille,Elise,Syndra,Ashe,Rakan,Gnar,Gragas,Galio,Xayah,Morgana
MSF,FNC,blueTeam,7937,5,0,1,Yes,Yes,2,0,2,No,No,JarvanIV,Gragas,Syndra,Ashe,Trundle,Chogath,Sejuani,Orianna,Jhin,Alistar
H2K,G2,redTeam,-3578,2,0,2,No,No,5,0,1,Yes,Yes,Trundle,Nunu,Cassiopeia,Tristana,Thresh,Chogath,Sejuani,Orianna,Sivir,Alistar
G2,H2K,blueTeam,4985,3,0,2,Yes,No,2,0,0,No,No,JarvanIV,Sejuani,Cassiopeia,Varus,Braum,Chogath,Gragas,Orianna,Ashe,TahmKench
H2K,G2,redTeam,-8367,2,0,0,No,No,6,1,2,Yes,Yes,Chogath,Gragas,Syndra,Ashe,Thresh,Gnar,Sejuani,Cassiopeia,Varus,TahmKench
H2K,FNC,redTeam,-5351,1,0,0,Yes,No,3,0,3,No,No,Rumble,Sejuani,Lucian,Tristana,Lulu,Gnar,Gragas,Syndra,Xayah,Janna
G2,MSF,blueTeam,1048,3,0,1,Yes,No,2,0,0,No,No,Chogath,JarvanIV,Leblanc,Sivir,Alistar,Maokai,Sejuani,Orianna,Xayah,Trundle
MSF,G2,redTeam,106,3,0,0,Yes,No,3,0,0,No,No,Shen,Rengar,Orianna,Xayah,Thresh,Maokai,Gragas,Lucian,Sivir,Alistar
H2K,SPY,blueTeam,-3423,3,0,1,No,No,3,0,0,No,Yes,Rumble,Sejuani,Cassiopeia,Varus,Alistar,Gnar,Gragas,Velkoz,Jhin,Rakan
SPY,H2K,redTeam,-3459,3,1,0,No,No,7,1,3,Yes,Yes,Trundle,Gragas,Galio,Xayah,Rakan,Renekton,Sejuani,Cassiopeia,Tristana,Alistar
H2K,SPY,blueTeam,571,4,0,0,No,No,3,0,0,Yes,No,Gnar,Gragas,Syndra,Tristana,Rakan,Kennen,JarvanIV,Corki,Sivir,Thresh
H2K,UOL,blueTeam,-613,2,0,0,No,No,3,0,1,No,No,JarvanIV,Sejuani,Cassiopeia,Xayah,Rakan,Trundle,Rumble,Syndra,Tristana,Alistar
UOL,H2K,redTeam,-3039,1,0,0,No,No,2,0,0,No,No,Maokai,Sejuani,Syndra,Tristana,Thresh,Rumble,Gragas,Cassiopeia,Sivir,Rakan
H2K,UOL,redTeam,-5263,3,0,1,No,No,6,1,0,No,Yes,Rumble,Gragas,Corki,Xayah,Rakan,Gnar,Ivern,Cassiopeia,Tristana,Alistar
H2K,UOL,blueTeam,3057,4,0,0,No,No,3,0,0,No,No,Gnar,Gragas,Cassiopeia,Sivir,Braum,Shen,Ivern,Syndra,Tristana,Thresh
MVP,JAG,redTeam,175,2,0,1,No,No,2,0,1,No,Yes,Sejuani,Graves,Taliyah,Ashe,Thresh,Jayce,Ivern,Orianna,Varus,Zyra
JAG,MVP,redTeam,-632,1,0,0,No,No,2,0,2,No,No,JarvanIV,LeeSin,Taliyah,Varus,Zyra,Sejuani,Gragas,Karma,Xayah,Blitzcrank
MVP,JAG,blueTeam,-3419,1,0,3,No,No,2,0,0,No,Yes,Sejuani,Elise,Karma,Varus,Bard,Gragas,LeeSin,Leblanc,Ashe,Lulu
LZ,kt,blueTeam,2449,2,0,2,No,No,1,0,0,No,No,JarvanIV,Elise,Orianna,Ashe,Zyra,Gragas,Graves,Taliyah,Varus,MissFortune
AFs,EEW,blueTeam,5074,3,0,2,No,No,0,0,0,No,No,Rumble,Olaf,Galio,Jhin,Karma,Gragas,Graves,Orianna,Varus,Thresh
EEW,AFs,redTeam,-4228,1,0,0,No,No,4,0,2,No,No,Shen,Olaf,Orianna,Caitlyn,Thresh,Gragas,Elise,Taliyah,Ashe,Karma
SSG,SKT,blueTeam,5285,4,0,1,Yes,No,0,0,1,No,No,Kled,Elise,Taliyah,Varus,Zyra,Shen,Olaf,Orianna,Caitlyn,Lulu
bbq,LZ,blueTeam,-328,1,0,1,Yes,No,2,0,1,No,No,Kennen,LeeSin,Vladimir,Kalista,Thresh,JarvanIV,RekSai,Kassadin,Caitlyn,Zyra
LZ,bbq,blueTeam,1652,3,0,0,Yes,No,2,0,1,No,No,Fiora,Zac,Kassadin,Twitch,Thresh,JarvanIV,LeeSin,Taliyah,Caitlyn,TahmKench
ROX,JAG,redTeam,-4017,1,0,0,No,No,4,0,3,Yes,No,Jayce,Olaf,Orianna,Twitch,Thresh,Sejuani,LeeSin,Galio,Caitlyn,Braum
JAG,ROX,blueTeam,3267,4,0,2,Yes,No,0,0,0,No,No,Jayce,Graves,Galio,Xayah,Rakan,Kennen,Nidalee,Cassiopeia,Ashe,Brand
AFs,kt,blueTeam,3944,2,0,2,Yes,No,0,0,0,No,No,JarvanIV,Elise,Galio,Ashe,Karma,Gragas,LeeSin,Corki,Varus,Thresh
kt,AFs,blueTeam,6976,5,0,2,Yes,Yes,1,0,0,No,No,JarvanIV,Elise,Orianna,Ashe,Thresh,Kennen,Graves,Taliyah,Varus,Zyra
ROX,SSG,blueTeam,940,3,0,1,No,Yes,3,0,1,Yes,No,JarvanIV,Graves,Syndra,Xayah,Blitzcrank,Kled,LeeSin,Taliyah,Varus,Karma
SSG,ROX,blueTeam,2804,4,0,2,Yes,Yes,1,0,0,No,No,Kled,Gragas,Syndra,Varus,Karma,Rumble,LeeSin,Jayce,Xayah,Thresh
ROX,SSG,redTeam,-13730,1,0,0,No,No,9,2,3,Yes,Yes,Jayce,Graves,Taliyah,Xayah,Rakan,Gragas,Khazix,Karma,Ashe,Zyra
MVP,EEW,redTeam,-5439,0,0,0,No,No,3,0,2,Yes,No,Kennen,Ivern,Anivia,Xayah,Bard,Rumble,LeeSin,Cassiopeia,Caitlyn,Galio
SKT,bbq,blueTeam,-11,3,0,2,Yes,No,2,0,1,No,No,Rumble,RekSai,Galio,Ashe,Karma,Sejuani,Khazix,Corki,Varus,Bard
AFs,SSG,blueTeam,5756,4,0,2,Yes,No,0,0,0,No,No,Renekton,LeeSin,Galio,Caitlyn,TahmKench,Gragas,Graves,Viktor,Ashe,Thresh
AFs,SSG,redTeam,4738,3,0,3,Yes,No,0,0,0,No,No,Renekton,LeeSin,Galio,Kalista,Braum,Kennen,Gragas,Viktor,Ashe,Lulu
ROX,kt,redTeam,-1844,2,0,1,No,No,3,0,2,Yes,No,Galio,Graves,Ahri,Caitlyn,Braum,Shen,LeeSin,Orianna,Kalista,Thresh
kt,ROX,redTeam,-3302,2,0,1,No,No,3,0,1,Yes,No,Kled,LeeSin,Ahri,Varus,Thresh,Shen,Graves,Orianna,Kalista,Braum
JAG,EEW,blueTeam,1361,3,0,1,Yes,No,3,0,0,No,No,JarvanIV,LeeSin,Taliyah,Caitlyn,Karma,Fiora,Graves,Orianna,Ashe,TahmKench
SKT,LZ,redTeam,-5188,1,0,0,No,No,3,0,2,Yes,No,Galio,Graves,Cassiopeia,Varus,Lulu,Renekton,Khazix,Taliyah,Ashe,Thresh
MVP,SSG,redTeam,-2982,1,0,2,Yes,No,3,0,0,No,No,Rumble,JarvanIV,Orianna,Jhin,Galio,Kled,Gragas,Taliyah,Varus,Bard
SSG,MVP,blueTeam,2464,4,0,0,Yes,No,2,0,2,No,No,JarvanIV,Khazix,Syndra,Jhin,TahmKench,Renekton,Gragas,Orianna,Ashe,Zilean
AFs,bbq,blueTeam,8856,5,1,2,No,Yes,0,0,0,No,No,Gragas,Khazix,Syndra,Kalista,Braum,Kennen,Rengar,Vladimir,Ashe,Karma
AFs,bbq,blueTeam,6773,4,0,1,Yes,Yes,1,0,1,No,No,Rumble,LeeSin,Galio,Ashe,Braum,Sejuani,Khazix,Azir,Varus,Thresh
